"image name","lat","lon","description"
"20180529_111843.webp",21.2716,-157.8185,"Keiki Zoo"
"20180530_102607.webp",21.3094020,-157.6566983,"Makapu`u Lookout"
"20180530_122238.webp",21.3092274,-157.6507334,"Makapu`u Lighthouse"
"20180530_122816.webp",21.3092492,-157.6571371,"Handstanding at the Top" 
"20180531_125331.webp",21.3368865,-158.1246392,"Aulani, Disney"
"20180531_125438.webp",21.3354166,-158.1239489,"Honu Lagoon"
"20180531_140214.webp",21.3383090,-150.1253279,"The Fam"
"20180601_150328.webp",21.325230,-157845758,"Kapena Falls"
"20180601_150847.webp",21.3503818,-157.7725999,"Maunawili"
"FB_IMG_1459031478255.webp",21.2690,-157.6938,"Hanauma Bay"
